Neighborhood,Neighborhood Name,Population,White,Black,Hispanic/Latino2,AIAN1,Asian,Mixed Race,Corridor,,,,,
33,Peabody/Darst/Webbe,2378,10.3,87.5,0.5,0.1,0.3,1.5,Central,,,,,
34,LaSalle Park,1299,28.3,67.6,1.8,0.2,0.7,3.1,Central,,,,,
35,Downtown,3721,53.5,37.1,2.9,0.5,5.4,2.3,Central,,,,,
36,Downtown West,3940,56.3,36.9,2.6,0.3,3.7,2.9,Central,,,,,
37,Midtown,5652,61.9,25.8,2.8,0.2,9.2,2.0,Central,,,,,
38,Central West End,14473,58.0,28.0,2.7,0.2,11.1,2.2,Central,,,,,
39,Forest Park Southeast,2918,30.1,64.3,2.1,0.2,2.4,2.0,Central,,,,,
40,Kings Oak,180,55.0,38.9,3.9,0.0,2.2,3.9,Central,,,,,
41,Cheltenham,620,67.3,15.0,3.7,0.2,10.6,5.6,Central,,,,,
42,Clayton/Tamm,2251,89.0,6.0,2.6,0.2,2.0,2.1,Central,,,,,
43,Franz Park,2442,86.2,7.9,4.3,0.5,2.1,2.5,Central,,,,,
44,Hi-Pointe,2196,85.0,6.9,4.0,0.2,4.7,1.9,Central,,,,,
45,Wydown/Skinker,1054,85.7,3.4,3.1,0.0,7.5,2.7,Central,,,,,
46,Skinker/DeBaliviere,4077,49.8,37.9,3.0,0.4,8.7,2.8,Central,,,,,
47,DeBaliviere Place,3466,59.0,29.4,3.0,0.2,7.8,2.5,Central,,,,,
48,West End,6574,8.1,84.9,3.8,0.2,1.5,2.5,North,,,,,
49,Visitation Park,960,5.8,90.4,0.3,0.1,0.4,2.6,North,,,,,
50,Wells/Goodfellow,5859,0.7,97.5,0.6,0.2,0.2,1.4,North,,,,,
51,Academy,2816,1.9,95.9,1.3,0.2,0.0,1.7,North,,,,,
52,Kingsway West,3441,3.4,94.5,0.8,0.5,0.0,1.4,North,,,,,
53,Fountain Park,1484,1.1,97.4,0.5,0.0,0.0,1.2,North,,,,,
54,Lewis Place,1673,5.4,94.2,0.9,0.4,0.2,1.2,North,,,,,
55,Kingsway East,3542,1.4,96.1,1.1,0.1,0.1,2.2,North,,,,,
56,Greater Ville,6189,0.7,97.4,0.7,0.2,0.0,1.4,North,,,,,
57,The Ville,1868,1.2,97.3,0.8,0.2,0.0,1.3,North,,,,,
58,Vandeventer,1682,1.2,95.7,1.2,0.2,0.0,2.3,North,,,,,
59,JeffVanderLou,5557,1.3,97.2,0.6,0.1,0.0,1.2,North,,,,,
60,St. Louis Place,2939,7.1,91.7,0.6,0.2,0.3,1.9,North,,,,,
61,Carr Square,2774,0.5,98.0,0.5,0.3,0.0,0.9,North,,,,,
62,Columbus Square,1869,4.1,92.9,0.9,0.2,0.6,1.9,North,,,,,
63,Old North St. Louis,1916,18.5,78.0,2.9,0.8,0.4,1.8,North,,,,,
64,Near North Riverfront,553,43.2,55.0,0.2,0.5,0.7,0.4,North,,,,,
65,Hyde Park,2668,13.6,84.8,0.9,0.0,0.0,1.3,North,,,,,
66,College Hill,1871,3.7,92.7,1.2,0.5,0.6,2.3,North,,,,,
67,Fairground,1793,1.7,97.1,0.5,0.1,0.0,1.0,North,,,,,
68,O'Fallon,5791,1.1,96.8,0.9,0.3,0.0,1.6,North,,,,,
69,Penrose,6387,0.8,97.2,0.5,0.2,0.0,1.4,North,,,,,
70,Mark Twain/I-70 Industrial,1295,2.4,95.8,1.9,0.0,0.0,0.5,North,,,,,
71,Mark Twain,4188,1.0,97.8,0.5,0.2,0.0,0.9,North,,,,,
72,Walnut Park East,4130,1.5,96.7,0.8,0.1,0.0,1.5,North,,,,,
73,North Point,3966,1.2,97.5,0.4,0.0,0.0,1.0,North,,,,,
74,Baden,7268,6.3,91.8,0.5,0.1,0.0,1.3,North,,,,,
75,Riverview,304,28.9,68.9,0.3,0.3,1.6,0.3,North,,,,,
76,Walnut Park West,3349,1.1,97.9,0.8,0.0,0.0,0.8,North,,,,,
77,Grand Center,3562,35.0,56.3,2.3,0.0,6.5,1.4,Central,,,,,
78,Hamilton Heights,3105,1.0,97.4,0.5,0.3,0.1,1.2,North,,,,,
79,North Riverfront,937,14.2,71.9,14.1,0.0,0.0,0.1,North,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
